Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,BER mean,BER var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,S-variance mean,S-variance var,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.09798236,0.00089573965,0.037444193,0.00025737158,0.18419558502906977,0.005339448809172412,9545.468636446221,74305.78746461688,0.42872638,0.05236384,5665.222027729734,610478.6994481516,4340.248125321243,26562.721484794212,0.01275653,4.36336e-05,170.38199,18456.713,2.951947,2.235868,0.0006255827,2.3453862e-07,10.495098,24.662184,1.2524548,0.22655441,0.0016480257,2.418073e-06
Defect-free,0,0.10411686,0.00051143946,0.037758313,0.0001413388,0.1683952945402299,0.005728139573665603,9612.966392780172,61553.44216350141,0.4483444,0.024175365,5579.626029850715,367589.8325352228,4502.874610561975,29411.01239379407,0.015099892,8.093322e-05,185.84651,21318.229,2.8755238,1.2887853,0.00061960245,1.5875156e-07,10.94275,29.378654,1.1442074,0.2078456,0.001437938,1.1677886e-06
Defect-free,0,0.12169007,0.00047205098,0.043153428,3.4448516e-05,0.19131645114942528,0.0018326854088423293,9369.170932112069,18099.831122989177,0.36346233,0.005262876,5750.659613115474,85774.60739179833,4220.495282668374,20185.635983902695,0.010289947,1.7566867e-05,148.15668,6233.585,2.598715,0.2210499,0.00052267296,3.5299507e-08,9.840944,10.670931,1.3115696,0.034034107,0.0010237929,2.0330239e-07
Defect-free,0,0.11887193,0.0003783854,0.03806185,1.5103082e-05,0.2374506106321839,0.0017096536731858569,9505.547885237069,18341.441551371787,0.31079876,0.002591747,5892.066436185565,65897.70060145642,4162.693173906149,7137.524106071942,0.015022095,1.4893447e-05,78.03799,3452.9778,2.124894,0.06356354,0.00034221486,1.7854518e-08,6.831367,6.5512953,1.5831472,0.013216103,0.00092314975,8.859302e-08
Defect-free,0,0.15168194,0.00040555454,0.054433495,7.971398e-05,0.1635798964389535,0.002086398181172562,9453.076171875,36005.20084070605,0.35629284,0.004453076,5769.635509071286,113229.02814540392,4251.984768557719,9676.587727148928,0.009016706,1.7257813e-05,222.57416,8377.195,2.8893137,0.34826505,0.00067015766,4.207988e-08,12.550519,10.32619,1.2409216,0.05627967,0.0011633998,5.25124e-07
Defect-free,0,0.14107996,0.0010276176,0.05406431,0.00021662189,0.15667093211206898,0.0031459642411034313,9309.273976293103,36417.381176625364,0.3787639,0.009157773,5569.768668635807,169425.28493356257,4242.999271041436,22020.737445036168,0.008114929,1.6310112e-05,224.76901,11872.3,3.086921,0.65499073,0.00072596816,1.3033149e-07,12.694942,16.684978,1.1139357,0.109152004,0.0020207488,4.484925e-06
Defect-free,0,0.11356643,0.00040896362,0.036852833,1.485583e-05,0.24178901760057472,0.0015550127179355848,9513.963160021553,20318.79992037126,0.28285304,0.0025586055,6026.227425269017,66827.40119093966,4118.488058451027,8533.426041869865,0.014125484,1.5983733e-05,85.734856,3881.17,2.2116063,0.1031929,0.00037458574,1.967513e-08,7.1940312,7.0906997,1.6181308,0.016210455,0.000990023,1.4345635e-07
Defect-free,0,0.1181795,0.0006195696,0.037677992,2.6752792e-05,0.22580482219827586,0.0025708086661672567,9368.428407866379,20858.012646188632,0.3106053,0.004059388,5968.7430804388505,85507.15855337452,4131.547153367226,12888.58997878372,0.011312417,1.781844e-05,113.19924,7107.4346,2.4611347,0.20598337,0.0004459944,3.8122618e-08,8.3705435,12.061514,1.4405863,0.03319367,0.0012740745,3.6562827e-07
Defect-free,0,0.10046813,0.0011913924,0.039082102,0.0002851247,0.15252543604651161,0.0041575656187347355,9431.79335483285,63820.47674248449,0.48939285,0.05781865,5380.736830055163,485760.2009031244,4381.970258416161,15851.344315488213,0.009624645,3.386736e-05,213.63928,14155.259,3.295913,2.459434,0.0007644466,2.6298522e-07,12.265395,19.383837,1.0771699,0.17645444,0.0018644922,6.249177e-06
Defect-free,0,0.104516394,0.0005781137,0.040480107,0.000117723575,0.1331267959770115,0.004509169353898883,9396.644329202587,36329.41145675786,0.51096636,0.023089552,5235.651936537686,255545.29107704884,4450.026492767718,23286.4604749335,0.0084007215,2.4464394e-05,240.75772,18335.846,3.3910859,1.4109542,0.0007835736,1.6679456e-07,13.201531,23.59233,0.9218945,0.13783872,0.0017998851,1.919773e-06
Defect-free,0,0.14285278,0.0004110657,0.05423482,6.030507e-05,0.14036121587643677,0.003332646713025001,9073.646282327587,23186.51477165086,0.45306948,0.012512611,5308.040923982655,168860.41987098887,4231.942835888749,11631.04487168424,0.0052801967,8.774705e-06,247.55875,10799.263,3.4215043,0.5004995,0.000791825,6.159112e-08,13.616816,13.079503,0.98230994,0.076391935,0.0012267343,4.1571863e-07
Defect-free,0,0.13926329,0.0053153383,0.037466303,2.1055872e-05,0.23723733836206898,0.0013340214061396867,9502.825296336207,101287.82086933691,0.293751,0.0034147312,5944.9458084290445,104085.23514915742,4126.553208191032,15626.252362324652,0.015746284,0.00015763572,84.033424,2360.8875,2.176333,0.11537265,0.00036726758,1.5466762e-08,7.211475,5.51475,1.6051066,0.029062148,0.0009915122,1.563301e-07
Defect-free,0,0.1403656,0.0009018146,0.045691438,6.852954e-05,0.19622093023255813,0.002480790575108959,9401.997410973838,24834.277387436436,0.3170837,0.0032176091,5840.190295995527,58392.279732883086,4145.598094922946,13479.650903242247,0.010255758,2.1528225e-05,153.41602,8565.76,2.579905,0.31022987,0.00053018995,4.685943e-08,9.957276,13.148301,1.4695759,0.06706928,0.0010250526,2.0981338e-07
Defect-free,0,0.13746801,0.00094097666,0.051135235,0.00024191725,0.16542070761494254,0.0035273366976735577,9302.838766163793,31316.730190825943,0.37109634,0.01190906,5583.288762472287,192695.0523697345,4226.988181157895,13274.96470385368,0.00873801,2.1961809e-05,219.55988,16963.803,3.0246596,0.82315415,0.00070868427,1.5330878e-07,12.330685,20.912186,1.2116646,0.1617963,0.0017836286,3.0479866e-06
Defect-free,0,0.12046726,0.00044227892,0.039002176,2.8770455e-05,0.20369746767241378,0.0017282453454585001,9417.1875,16273.172970475822,0.32334033,0.0043970807,5814.042801218876,85704.41855025677,4187.84194995732,10505.57240608245,0.011642305,1.5637197e-05,131.82399,4912.06,2.4730103,0.15803249,0.00048584663,2.8265692e-08,9.270708,7.976944,1.4565088,0.03249559,0.0010624437,2.306912e-07
Defect-free,0,0.1196952,0.0011511823,0.0395527,5.6658766e-05,0.21038186961206898,0.0016736281187440776,9237.991648706897,29446.209698880044,0.34849632,0.007408928,5769.0107464264,125230.12370806675,4186.68716280857,9384.777242773225,0.010106838,1.2551747e-05,122.82587,4897.3335,2.5718584,0.19422658,0.00048131842,3.117869e-08,8.943146,8.696843,1.3676715,0.03293503,0.0015517997,7.405285e-07
Defect-free,0,0.08976391,0.0006580143,0.036148738,0.00022808426,0.16707735283430233,0.005087238089209186,9374.454941860466,47378.999458383136,0.4862053,0.045262765,5315.189095932235,430554.85256223945,4374.282253581248,13091.03847551256,0.010160089,3.2688393e-05,179.01991,15724.313,3.1867292,2.4844065,0.0006969264,2.7067566e-07,11.027326,22.230944,1.1047502,0.19025032,0.0020181553,4.366378e-06
Defect-free,0,0.09909128,0.00076657115,0.042326786,0.00022721216,0.12162131824712644,0.004206543508018869,9260.762392241379,51705.97939939193,0.5777806,0.04372968,4995.0433656795985,329487.7545552258,4438.96603663215,19320.60531966095,0.0073536984,2.7774164e-05,243.79655,18595.057,3.6958566,2.18685,0.00088425033,2.6702105e-07,13.418039,23.322248,0.8583939,0.17131355,0.002045719,3.964731e-06
Defect-free,0,0.13092847,0.0007437722,0.048497733,0.00014602776,0.14799411817528735,0.003175212773421211,9038.500134698275,28473.274398785572,0.44943166,0.012394632,5283.11166491789,168831.25506973092,4203.760366670819,10019.889932176015,0.0060790745,1.4188433e-05,220.24446,11893.834,3.2194004,0.60074395,0.0007343492,9.614244e-08,12.55821,16.447851,1.04362,0.10564295,0.0012205938,4.9953167e-07
Defect-free,0,0.12512277,0.0006512239,0.040106785,2.4093406e-05,0.1700902478448276,0.0019444532919818333,9222.64614762931,20722.872533355967,0.38321668,0.005299079,5414.545065682994,126008.79297572674,4148.113107793293,5676.80696861506,0.008128184,1.0693219e-05,171.01959,5442.5654,2.670006,0.1973671,0.0005652018,3.018754e-08,10.79187,8.539783,1.2810526,0.044888467,0.0010500129,1.8335871e-07
Defect-free,0,0.13406266,0.0017165358,0.043863934,9.700448e-05,0.18003951671511628,0.0023024395519233897,9161.125999273256,33682.54351964056,0.36138898,0.006437607,5532.6186916189845,88022.29657980232,4111.659360035292,13651.478964360773,0.0076959617,1.3656415e-05,173.15692,7572.716,2.7630749,0.49782616,0.0006027515,6.775988e-08,10.779261,11.532141,1.3724674,0.094202384,0.0011874834,4.067489e-07
Defect-free,0,0.13342565,0.0006830005,0.0504854,0.00015329153,0.14866199712643677,0.0024419477868228186,9199.875404094828,30250.679309813215,0.4048511,0.01102497,5404.923961607736,138884.86017526116,4227.785973853758,12221.103750477652,0.006358921,1.0512828e-05,248.1272,14221.135,3.2807374,0.7822658,0.0007784191,1.2806385e-07,13.496165,16.589355,1.0761987,0.10088931,0.002175033,4.242998e-06
Defect-free,0,0.10795295,0.00055728294,0.03794433,3.1998265e-05,0.17442304238505746,0.0017989883493410106,9155.571457435344,29286.688006306944,0.3931242,0.004423498,5384.708816014508,76764.9362556375,4195.137429590987,5693.898616666728,0.009149994,1.2925534e-05,162.11687,5790.7393,2.6479766,0.2307328,0.0005571752,3.806569e-08,10.464343,9.38321,1.2775408,0.037019823,0.001270891,5.663332e-07
Defect-free,0,0.109206975,0.0006068942,0.03659855,4.4141245e-05,0.19400480423850575,0.002168965034116951,9091.466864224138,33045.24942187151,0.4039297,0.009653865,5423.966669901454,153470.8845110065,4218.556528335676,9734.662019780631,0.009415856,1.3807036e-05,129.00598,5992.7974,2.6320148,0.24998485,0.00050124526,3.4987536e-08,9.233321,9.670076,1.3018352,0.06761472,0.0014527043,6.9618216e-07
