Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,BER mean,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.16798593,0.0096266875,0.039144076,0.00010000326,0.36822018678160917,0.0009251267076215873,10165.156923491379,296272.58243515436,8155.333758315878,45619.048614837455,2667.7595680177224,119127.36110594246,0.0149913905,0.00012711322,16.445166,55.949005,0.0008177754,0.00018205075,4.758493e-09,3.5529687,0.49457812,1.2640476,0.100055076,0.0008907313,1.0937084e-07
Defect-free,0,0.20085478,0.002570459,0.05473807,1.6131535e-05,0.36789466594827586,0.0009594772526351318,9840.921336206897,62777.789532075185,8121.67600968931,12800.678891284062,2424.328785799824,13070.606600323023,0.006898693,2.2333732e-06,18.96754,46.68156,0.0006787778,0.00019938062,1.2766734e-09,3.920977,0.26672858,0.9692147,0.018135473,0.001025754,6.3860014e-08
Defect-free,0,0.22625697,0.018654598,0.055186886,7.502514e-05,0.36788344109195403,0.0009334423469889194,10126.793170797413,989265.8126595184,8162.656283095289,137564.55450844267,2611.2406175349083,149754.11836014327,0.012920729,0.0003044595,17.770458,30.446112,0.00065474876,0.00018912053,2.4635818e-09,3.7529387,0.24432997,1.0963928,0.03450299,0.0009069406,6.580816e-08
Defect-free,0,0.20435692,0.0043776855,0.057486672,8.076044e-05,0.3655093839798851,0.0012220717087527816,9825.080818965518,65689.85680479216,8132.412230955596,32262.120892005652,2446.96896254425,29666.118391643275,0.007889465,1.0698817e-05,19.341688,52.6759,0.0006771191,0.00020439042,2.5858953e-09,3.954263,0.3191138,0.93259835,0.019407075,0.0010235026,6.900816e-08
Defect-free,0,0.20390898,0.006799704,0.055676073,0.00011905648,0.3687758171695402,0.0009439853053849571,10229.509024784482,228986.52854062145,8222.537196013689,25418.8242822325,2674.2855357888334,111437.32659281124,0.01431847,8.287627e-05,17.062754,30.477581,0.0005245909,0.0001782322,1.8547922e-09,3.682372,0.30601856,1.1254479,0.08624442,0.00089874363,6.757475e-08
Defect-free,0,0.20722067,0.012189068,0.05283129,3.5054745e-05,0.36871969288793105,0.0009072466686610138,10251.042227909482,794120.4267166174,8310.410683307464,107659.82327217008,2572.296468069846,109420.77012388839,0.012953749,0.00027994774,17.897402,32.78742,0.00047502966,0.00019104578,1.2408025e-09,3.7720983,0.22685131,1.0919548,0.03631522,0.00096212886,7.191019e-08
Defect-free,0,0.17196375,0.0007592026,0.05245919,5.778445e-05,0.36871969288793105,0.0009424668477255344,9983.238483297413,34293.488288180866,8273.531245033973,7318.46920560917,2402.42221942761,8228.714730923804,0.007808266,2.4956937e-06,19.152752,51.01782,0.0004209794,0.00020285415,2.6908256e-09,3.9457448,0.3143688,0.9678136,0.017074708,0.0010563477,6.701885e-08
Defect-free,0,0.12364811,0.002828324,0.03377978,9.452577e-05,0.3719861260775862,0.001125112110974058,10453.998855064656,215849.02275756767,8377.584141469388,14673.854252214038,2682.1455535767486,76743.20089980071,0.01678256,0.000120141565,14.993996,41.104137,0.0005641158,0.00017275097,4.5893462e-09,3.4220736,0.31625313,1.2987082,0.06573946,0.00083192455,5.3294904e-08
Defect-free,0,0.1662959,0.024360089,0.036663417,0.00011733094,0.37714394755747127,0.001048528497640232,10823.775929418103,705962.5153592594,8554.80785022376,146718.65658921312,2896.5644456478076,131316.1623026551,0.025340313,0.0003167211,13.869834,33.462627,0.00079936173,0.00015550682,3.4886347e-09,3.2965364,0.45039463,1.4028335,0.09407122,0.00078146986,8.464814e-08
Defect-free,0,0.17265934,0.00070523116,0.050583906,3.8476777e-05,0.36978605423850575,0.0009206108348280457,10155.504108297413,64160.80094971356,8345.0549374324,6994.19473273384,2534.3327023137,19702.00148084088,0.010583114,8.58008e-06,17.992075,32.384716,0.0006075963,0.00019307785,1.8230403e-09,3.8229146,0.21681045,1.012343,0.0150482915,0.0009744177,6.311765e-08
Defect-free,0,0.17401369,0.0025037618,0.04915398,2.0730635e-05,0.3715932561063218,0.0009723311293344074,10308.711610991379,44699.27697629623,8323.261976006735,7359.809880876976,2656.011125246124,14309.72263692024,0.01339976,1.1191006e-05,16.425735,21.257538,0.00057325844,0.00017880852,1.2983375e-09,3.6544995,0.20008375,1.1372098,0.01815752,0.00090135005,4.4452122e-08
Defect-free,0,0.20029458,0.010040865,0.05245872,5.9457187e-05,0.3695671695402299,0.0011150579594891709,10199.560546875,145634.2388021535,8333.850504154527,23269.0022059202,2603.656464597568,44798.132421485505,0.012280359,3.171975e-05,17.631674,23.784645,0.00043811576,0.00018882565,1.8424177e-09,3.788321,0.19463255,1.062907,0.024959711,0.0009245949,4.751256e-08
Defect-free,0,0.17663364,0.00102193,0.049094655,4.3762255e-05,0.3692416487068966,0.0009976756322303557,10233.221646012931,130668.97218207543,8269.50090267018,36442.606581398104,2686.869135705235,39762.85383855479,0.013618589,2.472154e-05,17.669746,46.56984,0.0005213768,0.00018507407,2.091384e-09,3.7340722,0.29928258,1.1348363,0.025358962,0.0009013113,5.677329e-08
Defect-free,0,0.16576482,0.00041199411,0.047597248,1.7279155e-05,0.3667609554597701,0.0009259564004969384,10110.705145474138,55841.903958677816,8246.687377471317,10587.912743676212,2576.18938170479,15033.880415930744,0.011284895,8.5468555e-06,17.95209,41.049374,0.00044858528,0.0001895147,1.4318822e-09,3.7775517,0.25168517,1.0634482,0.014308606,0.00093206926,4.6564047e-08
Defect-free,0,0.16877168,0.00093497284,0.050024692,4.5792087e-05,0.36788344109195403,0.0009085097925904595,10056.005859375,51324.45055862953,8311.148817475703,8423.995782363902,2481.991410335342,10725.43964106149,0.00955939,4.355013e-06,18.02012,26.022573,0.00038859548,0.00019607575,1.8044649e-09,3.8482087,0.18646623,0.99586576,0.01645273,0.001012256,6.3499456e-08
Defect-free,0,0.11324582,0.002384248,0.031563506,6.532861e-05,0.3745902927442529,0.001149626291007658,10383.211543642241,196310.3108683891,8406.791618219882,34397.57615982544,2709.056652397641,45012.81812154474,0.016209153,5.9478476e-05,14.5866585,31.22736,0.0005377678,0.00016941957,3.2354752e-09,3.415091,0.25143036,1.3348837,0.03761743,0.000843985,4.8031257e-08
Defect-free,0,0.10926661,0.0004666383,0.031580117,4.439155e-05,0.37716078484195403,0.000985214804418652,10684.428879310344,238826.8851156609,8498.26437481558,40605.68380782432,2878.9941276999375,69821.01302139979,0.022354888,0.00011019109,15.063096,32.432793,0.0006681278,0.00016477871,2.4904137e-09,3.428522,0.34450325,1.3815546,0.06928992,0.00075846724,3.7908126e-08
Defect-free,0,0.16156462,0.0009202877,0.045641262,3.021018e-05,0.3684222341954023,0.0009185519113236996,10105.259967672413,53284.77857796106,8313.517435045855,9317.860393713874,2531.8321472874204,16155.364594511488,0.010086029,6.199908e-06,18.505249,25.45329,0.00047523825,0.00019691758,1.3908804e-09,3.8726358,0.182039,1.0383395,0.021454923,0.0009781363,5.956109e-08
Defect-free,0,0.15602234,0.0005205704,0.046064746,1.3972269e-05,0.37180091594827586,0.0009742263192181731,10226.786435883621,53944.42895646611,8293.27375206811,10739.965650006092,2608.1082397800556,14191.909561657176,0.011669782,8.1303615e-06,16.252419,21.527336,0.00046651057,0.00017929504,1.4293996e-09,3.6398816,0.18610452,1.1385604,0.014011484,0.00092535943,5.2122896e-08
Defect-free,0,0.17788064,0.0009046457,0.053680643,5.565809e-05,0.3700666756465517,0.0011722632357869128,10153.524043642241,138195.8966533012,8341.423828604266,30630.622137696697,2534.687723901855,38273.646699848636,0.010314331,1.39409185e-05,19.155193,37.359035,0.00040448358,0.00020281304,2.6642135e-09,3.8983831,0.24840747,1.0525712,0.017480828,0.0009482935,5.4761365e-08
Defect-free,0,0.1568081,0.00061317894,0.045719564,2.7442531e-05,0.36973554238505746,0.0009268641487612467,10014.672009698275,81961.55952925347,8215.83958199127,23970.99199618076,2623.7386018852676,31298.492610472433,0.011507979,1.5529062e-05,17.3052,26.343046,0.0004752338,0.00018473002,1.3014302e-09,3.7668471,0.19524035,1.1164021,0.016494824,0.0009275455,4.2047592e-08
Defect-free,0,0.15242794,0.00051861914,0.044006348,2.1431479e-05,0.36882071659482757,0.0009299027650449846,10049.075633081897,39689.78124339572,8236.320808406703,11171.54842448295,2577.252677278166,9507.507841650593,0.010775199,5.500127e-06,18.12345,44.342426,0.0003876685,0.00019253163,1.6450153e-09,3.8034778,0.25641462,1.0837303,0.015803564,0.0009391861,4.569421e-08
Defect-free,0,0.14746726,0.0007632284,0.044183873,2.2330933e-05,0.3668226921695402,0.000907285286863944,9896.858162715518,45380.368442512714,8258.286105282243,6719.535004449789,2468.5583391964806,11273.548416711232,0.008925016,4.429473e-06,18.691685,22.108582,0.00042939023,0.00020416807,1.7239257e-09,3.9251328,0.1672808,0.9728453,0.02024396,0.0010481245,5.717156e-08
Defect-free,0,0.10609629,0.002149803,0.02891789,6.428068e-05,0.37556124281609193,0.0012000047132099206,10270.842874461207,204871.18584931106,8370.974693972921,17911.307597160365,2695.7594283555295,39856.028559954066,0.015352414,5.2837735e-05,15.555968,42.103493,0.00054323487,0.00017644813,5.5197815e-09,3.519483,0.381368,1.323708,0.052777693,0.00087911787,6.425485e-08
