Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Defect-free,0,3366.6797368751,0.9091191,0.00041292878,2425.85259629144,0.005763814,0.39203653,0.1207952,8147.731573380229,0.001221347
Defect-free,0,5711.617841646881,1.2423265,0.00048534662,2625.1908136525176,0.0096998485,0.26789802,0.07734497,8220.834358470953,0.0009803531
Defect-free,0,5583.333376758507,1.2712532,0.0004922473,2692.498453014626,0.011200436,0.27049342,0.07591223,8225.528283617436,0.0009932016
Defect-free,0,3695.4588946571457,0.89824563,0.0004201897,2440.3450038392825,0.005505872,0.390759,0.118317634,8074.6462431618365,0.0012372892
Defect-free,0,37449.10611711512,1.0604817,0.00049063977,2570.7124351956027,0.008191701,0.44035077,0.12237069,8129.718654552722,0.0010644025
Defect-free,0,25602.351820933734,1.1802121,0.00039492763,2524.9640490581996,0.006762323,0.4340943,0.12743565,8109.420172722934,0.0010330884
Defect-free,0,10701.81083809659,1.224789,0.00034335567,2614.647010162219,0.007546338,0.4110651,0.11678643,8051.291482951697,0.0009985458
Defect-free,0,4000.100764301948,1.0363235,0.0004952357,2566.8910146461003,0.0073152664,0.3901206,0.11611803,8096.614865642958,0.0011008156
Defect-free,0,6536.249192295541,0.9443782,0.0005080553,2466.385487629772,0.0063398173,0.38336042,0.11546321,8114.857911951259,0.0011999108
Defect-free,0,7774.6311570227335,1.2647965,0.00050146924,2671.5727198680265,0.010041187,0.24962959,0.07416036,8165.629958194314,0.0010066575
Defect-free,0,8323.955747797936,1.2803953,0.0005820535,2725.1845988337204,0.010853738,0.24041362,0.07007939,8160.4831466669375,0.0009898514
Defect-free,0,5583.776608340368,0.9707479,0.0005635007,2451.655656836161,0.0056495243,0.37251124,0.10777773,8034.5747027424695,0.0011857502
Defect-free,0,7771.612181485522,1.1117883,0.0005118088,2546.7888706192857,0.0064975624,0.3537054,0.10329638,7981.339302114713,0.0010414043
Defect-free,0,16084.262886752005,1.1999375,0.00044974347,2493.826008193211,0.005668887,0.38370803,0.11216134,7988.5174262296405,0.0010932216
Defect-free,0,6807.490562784571,1.2357762,0.00038042947,2592.193798667123,0.0067124963,0.36190236,0.1068763,8020.679398361597,0.0010335192
Defect-free,0,4771.463448026102,1.0809512,0.00044362544,2583.7308365909616,0.007130069,0.32690325,0.09693972,7960.567769534661,0.0010226164
Defect-free,0,6312.527604251771,1.0209844,0.0005450956,2542.6031045701243,0.0069104824,0.34403306,0.09851104,8009.177036927938,0.0011419386
Defect-free,0,15966.80643453479,1.2946702,0.00058797887,2739.1692668408805,0.010888284,0.23253658,0.06910356,8153.253236177237,0.0009792822
Defect-free,0,7423.981656498332,1.2956388,0.0007438753,2737.537540363965,0.0106892465,0.22767587,0.06651001,8163.318440825556,0.0009902612
Defect-free,0,5048.403390990008,1.0278267,0.0006557588,2523.1011597716115,0.0061448743,0.32264623,0.09289281,7977.965326406621,0.0010980517
Defect-free,0,9865.451304353099,1.1679695,0.0005258457,2580.141117246881,0.006279371,0.3184348,0.09563939,7943.082822294326,0.0010084315
Defect-free,0,14336.701988964149,1.2537612,0.0005525989,2518.459366644869,0.005825472,0.38556436,0.10699918,7953.874870633345,0.0010030839
Defect-free,0,12458.766746207912,1.4242389,0.00041256024,2673.6477847670585,0.007880909,0.30704156,0.08996005,7865.585195706737,0.00094675086
Defect-free,0,6802.89347163581,1.1325461,0.00056938303,2651.044190111319,0.007478492,0.32655844,0.09021067,7875.997956746584,0.0010620984
Defect-free,0,7929.176595251204,1.0288165,0.0005966857,2571.6176412896993,0.0071951626,0.31536725,0.09017209,7946.729058478848,0.0011220168
Defect-free,0,12498.275507903869,1.3594514,0.00074739696,2781.6402512939235,0.011376464,0.22950377,0.06417006,8164.909684058696,0.0009868382
Defect-free,0,7971.433333996348,1.3962961,0.000640914,2775.0917056023704,0.0113302125,0.21472414,0.062361486,8196.884972231455,0.0009470152
Defect-free,0,4852.464704818315,1.0287411,0.000626729,2551.132713827364,0.0065410966,0.30640772,0.08962891,7996.21682475879,0.0011030899
Defect-free,0,7653.40165778354,1.2561166,0.0005161714,2650.560773109385,0.00734484,0.30065534,0.08981797,7962.636265279111,0.0009953311
Defect-free,0,23445.101926734387,1.3065794,0.00055618415,2555.763668514359,0.0059069656,0.34478375,0.09984347,7830.8883272477415,0.0010900475
Defect-free,0,52029.55126134651,1.536276,0.0005194808,2749.334648701386,0.010905963,0.28601775,0.082593344,7845.209070506484,0.00091115944
Defect-free,0,11311.282273712153,1.265811,0.00056858355,2774.8903792742276,0.010344144,0.25796297,0.076786056,7814.610699168918,0.0009007514
Defect-free,0,15130.84626362588,1.1288725,0.00057893177,2654.0862931989054,0.009008772,0.29186872,0.08462055,7957.831813678623,0.0010581979
Defect-free,0,19301.934286467884,1.4787539,0.00053857215,2835.6662115844183,0.012393568,0.21478727,0.06092831,8248.317216183286,0.000905175
Defect-free,0,21479.168772224293,1.385828,0.0007888775,2777.2058930905473,0.010558327,0.20539102,0.061167218,8216.93007796226,0.00096631004
Defect-free,0,9562.65200334763,1.1915843,0.00077075185,2638.8308278218956,0.008104903,0.27557513,0.07655006,7901.334580634152,0.0010777558
Defect-free,0,10517.453766004017,1.4453235,0.00063874153,2793.7270482002677,0.009957086,0.25832918,0.072684675,7813.608124679337,0.0008567234
Defect-free,0,13386.862489065343,1.4632299,0.00050877174,2651.3597477450126,0.007472389,0.2768053,0.079990484,7764.364754598023,0.0009312951
Cracks,1,7365.68834878885,1.5319052,0.0006441724,2729.1156772156673,0.008990272,0.26513392,0.07937438,7767.890953187164,0.00092329364
Cracks,1,27425.550603733205,1.316946,0.00057340163,2756.897479245323,0.010350993,0.2845389,0.08151906,7800.036283590862,0.0009444253
Cracks,1,16718.21247460433,1.1555864,0.0006364972,2694.6407519964146,0.009682989,0.28441507,0.079537824,7949.18359685307,0.0010479405
Cracks,1,40392.41683339157,1.5080537,0.0006002467,2873.5227823918144,0.013147449,0.23204233,0.061169006,8232.764542850777,0.0008742791
Cracks,1,30103.499736554175,1.4169656,0.0007195012,2809.909148891564,0.011471319,0.21230097,0.060631085,8244.322486168008,0.00092756056
Cracks,1,9501.58346106963,1.2417766,0.0005858802,2695.8858345199005,0.008758098,0.2410822,0.07431546,7887.400097654755,0.000959028
Cracks,1,21152.132118285448,1.5820092,0.00071363786,2843.1262360497562,0.011238016,0.21788745,0.061343983,7743.71832295913,0.000814723
Cracks,1,17351.609463330336,1.5933204,0.0006297991,2767.9186269592587,0.009469756,0.2742948,0.07609903,7755.332489268645,0.0009533913
Cracks,1,82099.41091509788,1.6055712,0.0004589616,2875.9647510539003,0.013643808,0.25079766,0.07269921,7792.739622099802,0.0009276599
Cracks,1,8316.418761427354,1.3224537,0.0006341992,2805.424803113859,0.010941494,0.24281539,0.070495196,7766.54172381182,0.000922494
Cracks,1,25038.16918841898,1.2045671,0.0007303225,2808.8065254868966,0.01134497,0.2662199,0.07467461,7891.450310957413,0.0010249307
Cracks,1,48860.37805318035,1.5676717,0.0006348459,2871.0731396430842,0.013352761,0.2418532,0.05914153,8312.13918043601,0.00084618083
Cracks,1,38193.26792770083,1.4643241,0.00071642053,2844.0778597118338,0.011659224,0.19824815,0.055393323,8201.769416539157,0.00090346474
