Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Defect-free,0,104067.02693351546,1.3665211,0.30588934,4172.412506789742,0.010410212,0.110324904,0.03436761,5281.1663522380895,0.00117739
Defect-free,0,88034.93247576673,1.1118075,0.35610884,4227.6201732727795,0.007557894,0.10726227,0.03793379,5176.638929430082,0.0014972986
Defect-free,0,259114.47288281855,0.88324195,0.4718376,4451.998130088274,0.007755413,0.09311965,0.038425636,4951.131136618929,0.0022566603
Defect-free,0,240677.1518138015,0.76928484,0.5030011,4456.1814293165535,0.006349121,0.099001125,0.040356185,4874.517801983614,0.0022870484
Defect-free,0,178552.277266925,0.8207447,0.45581558,4257.3607949156585,0.004517098,0.12208013,0.050458442,4874.213238370693,0.0011403471
Defect-free,0,87885.01253623079,1.3998648,0.2965634,4177.85221193647,0.009920281,0.105398946,0.033810403,5360.28883936498,0.0010728614
Defect-free,0,182070.58405156722,1.3081629,0.31532425,4073.1627971963876,0.0072245756,0.12486495,0.04229261,5255.677694399739,0.0013615718
Defect-free,0,214305.95739950603,0.84149134,0.42015588,4225.519100014765,0.00621093,0.14219052,0.052384816,4836.993492005706,0.0026614603
Defect-free,0,94033.50971879817,1.1390877,0.3367963,4231.684851796169,0.010148679,0.10116717,0.035012256,5047.412967392338,0.0012615046
Defect-free,0,112055.47402829195,1.0856023,0.37369353,4286.649641430999,0.008957371,0.11002113,0.037554987,5118.105066018043,0.0015692415
Defect-free,0,269615.3828194646,0.9458473,0.45699778,4497.551559351203,0.00975517,0.09269767,0.035451066,5069.455464651155,0.0024635294
Defect-free,0,168485.9671646334,0.6896248,0.54226464,4465.540070204108,0.0049204915,0.10108229,0.041913696,4711.553985824633,0.0024877705
Defect-free,0,152423.68879212622,0.7583933,0.48790082,4241.287314391896,0.004692268,0.12255228,0.048754748,4607.456937475389,0.0013627424
Defect-free,0,81591.99954672516,0.92395085,0.4013902,4223.31037298994,0.0066633606,0.11885474,0.040262103,4701.1480045651515,0.0012978434
Defect-free,0,209266.4424608576,1.1486051,0.36876512,4127.653776494691,0.006401732,0.110323854,0.039855257,4953.618562365212,0.0016282192
Cracks,1,149008.57377309256,0.8340656,0.43329883,4199.329623321969,0.005432859,0.12035782,0.048927438,4721.070244456422,0.0027094898
Cracks,1,128073.58502235737,1.0481678,0.36597413,4231.470348643043,0.008851362,0.12358637,0.03993032,4881.883340993222,0.0012434721
Cracks,1,141139.06861221988,1.0877191,0.38880295,4303.005727139783,0.009204473,0.10357105,0.035322484,5023.367153985009,0.0018216445
Cracks,1,298946.5852511686,0.8920181,0.49088305,4502.356989427817,0.009051457,0.097348616,0.039531864,4890.722656593927,0.0022393914
Cracks,1,242306.74734908223,0.63198197,0.57284,4485.388810578168,0.0052828663,0.10343249,0.045902457,4633.673212398999,0.0024116107
Cracks,1,209693.95280149503,0.79690564,0.47155502,4250.088321831262,0.0055338712,0.11628776,0.045777883,4643.362185608298,0.001291827
Cracks,1,88549.65621607189,0.8856,0.42711097,4199.278432071127,0.006368236,0.100757465,0.036365997,4565.87325894681,0.0013640799
Cracks,1,197246.80892440522,0.79191047,0.4541599,4194.57824524116,0.0046329373,0.13915665,0.05047695,4593.665153708034,0.0018039888
Cracks,1,235964.94709318268,0.65103453,0.49261272,4278.631863279611,0.0050771898,0.12496983,0.053881854,4519.134623310779,0.003470433
Cracks,1,101369.6359951508,1.0185786,0.40033394,4248.92001032007,0.008854665,0.10508254,0.035541378,4725.076590669735,0.0014966383
Cracks,1,94584.58574448347,0.91326666,0.4457804,4339.596680149689,0.007948293,0.10825778,0.03870323,4685.84475370087,0.0019759822
Cracks,1,224967.14560584334,0.7381607,0.5299977,4548.02883834969,0.0074360934,0.106283605,0.0427032,4793.490334345847,0.0026478402
Cracks,1,208153.19634502,0.4929492,0.62549317,4470.064436781772,0.0037452504,0.106791876,0.047958046,4400.347681748396,0.0029766555
Cracks,1,181380.93999768587,0.6133514,0.55756104,4308.1340776850675,0.0044953637,0.1275077,0.051667027,4334.236842849916,0.0014640228
Cracks,1,117889.89158853433,0.7487816,0.46951684,4239.124784419048,0.006153291,0.108671345,0.03767343,4332.3705379058765,0.0015575273
Cracks,1,151442.3969140288,0.9109292,0.40576988,4213.815098425845,0.005084856,0.12007965,0.044355232,4865.414942941998,0.0016943611
Cracks,1,176163.50026190732,0.57879186,0.52714896,4294.341321970912,0.0047632307,0.12717095,0.055206012,4327.013806157041,0.0031764877
Cracks,1,89189.70713852083,0.78508043,0.45207196,4244.122213862936,0.0076004807,0.10091005,0.03708643,4335.836201937648,0.0016582025
Cracks,1,123493.93791700904,0.68826395,0.51230735,4320.3692186236,0.0059038224,0.11714295,0.04175795,4359.49283684356,0.0022254528
Cracks,1,214267.09994813657,0.64662504,0.58160377,4542.110050547649,0.006262545,0.11342542,0.044440936,4624.060853534051,0.0027688595
