Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,BER mean,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.13206254,0.0005973042,0.042176712,1.7601853e-05,0.2214776400862069,0.0009699062463833705,9553.811961206897,15525.185310599638,5881.714265871326,62642.13614836522,4251.300440575463,6835.001273879223,0.015849547,1.6790878e-05,102.424706,2708.7375,0.2544498,0.0004057757,1.3716573e-08,7.9305587,5.444257,1.5230197,0.012264466,0.000903713,9.6639894e-08
Defect-free,0,0.1339911,0.00066035864,0.04592364,4.8666272e-05,0.19866311961206898,0.002592838618474681,9551.089372306034,22627.086163134132,5936.331366396437,77379.39874241863,4248.648148848626,18914.58870247438,0.014560761,3.8944432e-05,144.4642,8296.864,0.25570443,0.0004859752,3.8732864e-08,9.500135,13.20811,1.4943495,0.053856656,0.0009831949,1.804419e-07
Defect-free,0,0.14765808,0.0012445302,0.05728139,0.00027655117,0.14644508800287356,0.0024254580661664314,9475.599407327587,44213.72823000804,5697.616409436377,176349.25538030715,4298.191906040075,21603.329933521974,0.009300881,1.9835306e-05,254.59279,12077.308,0.2979516,0.0007498242,1.235989e-07,13.665399,14.329143,1.1262237,0.09170747,0.0018880941,2.6410655e-06
Defect-free,0,0.12095063,0.00026415696,0.041696332,3.4683006e-05,0.2195525772270115,0.003180163904231139,9515.695716594828,22977.49479658964,6034.184193084869,122352.18408314293,4124.596375318395,9033.358490492477,0.013599939,2.1103024e-05,123.984344,8424.746,0.22950879,0.00045148417,3.8603396e-08,8.700188,12.934174,1.5386666,0.038250715,0.00096936873,1.2512629e-07
Defect-free,0,0.12163325,0.00031218707,0.039467692,2.1927228e-05,0.2488550646551724,0.0011738351163437005,9528.566136853447,16680.431116491945,6146.429431457643,74176.1103119942,4129.114116335472,12122.468854279598,0.013739201,1.6165439e-05,81.42405,2673.664,0.2318385,0.0003776871,1.8780057e-08,7.1478596,5.5000725,1.5402573,0.016667863,0.0011629162,2.2938828e-07
Defect-free,0,0.096856125,0.0009945264,0.03770698,0.0002581079,0.18239269037356323,0.005557744281580811,9533.763806573275,84338.57977319417,5639.381623878697,658783.8742629677,4346.401512148332,28499.13590632279,0.012665339,4.3771517e-05,168.31133,16908.963,0.36179355,0.00061769644,2.2046639e-07,10.470027,23.457851,1.2395585,0.23746257,0.0017486429,3.219092e-06
Defect-free,0,0.10411686,0.00051143946,0.037758313,0.0001413388,0.1683952945402299,0.005728139573665603,9612.966392780172,61553.44216350141,5579.626034956344,367589.83248888084,4502.874611354999,29411.012745941254,0.015099892,8.093322e-05,185.84653,21318.227,0.36268884,0.00061960245,1.5875156e-07,10.94275,29.378654,1.1442074,0.2078456,0.001437938,1.1677887e-06
Defect-free,0,0.12169007,0.00047205098,0.043153428,3.4448516e-05,0.19131645114942528,0.0018326854088423293,9369.170932112069,18099.831122989177,5750.659615857541,85774.60712319148,4220.495282635726,20185.636439205526,0.010289947,1.7566867e-05,148.15666,6233.584,0.2903063,0.00052267296,3.529951e-08,9.840944,10.670931,1.3115697,0.034034103,0.0010237929,2.0330239e-07
Defect-free,0,0.11887193,0.0003783854,0.03806185,1.5103082e-05,0.2374506106321839,0.0017096536731858569,9505.547885237069,18341.441551371787,5892.066435862922,65897.69966157238,4162.693173230885,7137.523910353574,0.015022095,1.4893446e-05,78.03799,3452.978,0.23411462,0.00034221486,1.785452e-08,6.831367,6.5512953,1.5831472,0.013216102,0.00092314975,8.859301e-08
Defect-free,0,0.14993848,0.00066230615,0.054254755,8.1237784e-05,0.16258081896551724,0.0021482579915050094,9447.630994073275,36776.85632717029,5765.425476476223,109254.8682766314,4249.890194733709,9837.851546205564,0.00895264,1.700448e-05,220.31367,8605.153,0.28843993,0.0006594651,4.2968644e-08,12.472112,10.604897,1.2437755,0.056269433,0.0011583259,5.209083e-07
Defect-free,0,0.14107996,0.0010276176,0.05406431,0.00021662189,0.15667093211206898,0.0031459642411034313,9309.273976293103,36417.381176625364,5569.768667813137,169425.2879843154,4242.999271891714,22020.737119566053,0.00811493,1.631011e-05,224.76901,11872.302,0.3068922,0.00072596816,1.303315e-07,12.694941,16.684978,1.1139357,0.109152004,0.0020207488,4.484925e-06
Defect-free,0,0.11356643,0.00040896362,0.036852833,1.485583e-05,0.24178901760057472,0.0015550127179355848,9513.963160021553,20318.79992037126,6026.227425291229,66827.39953593252,4118.488057588423,8533.426035599665,0.014125486,1.5983731e-05,85.734856,3881.1692,0.21366376,0.00037458574,1.967513e-08,7.1940312,7.0906982,1.6181309,0.016210461,0.0009900231,1.4345633e-07
Defect-free,0,0.1181795,0.0006195696,0.037677992,2.6752792e-05,0.22580482219827586,0.0025708086661672567,9368.428407866379,20858.012646188632,5968.743079085507,85507.16029173919,4131.547154385155,12888.589919536857,0.011312417,1.781844e-05,113.19923,7107.4355,0.24792391,0.00044599437,3.8122618e-08,8.3705435,12.061512,1.4405863,0.033193663,0.0012740748,3.6562824e-07
Defect-free,0,0.09994297,0.001132434,0.03932853,0.00028243876,0.15104166666666666,0.004299244204700222,9424.365234375,67821.46848481277,5361.113384330115,513508.7764623851,4391.448647814047,20212.91639025252,0.009545483,3.3990193e-05,215.84232,14507.075,0.4216249,0.0007671283,2.6786262e-07,12.337924,19.641533,1.0663371,0.1839512,0.0018776492,6.1880824e-06
Defect-free,0,0.104516394,0.0005781137,0.040480107,0.000117723575,0.1331267959770115,0.004509169353898883,9396.644329202587,36329.41145675786,5235.6519339070555,255545.28803498027,4450.02649326366,23286.460452385993,0.0084007215,2.4464389e-05,240.75775,18335.846,0.42597142,0.0007835736,1.6679458e-07,13.201531,23.59233,0.9218945,0.1378387,0.0017998851,1.919773e-06
Defect-free,0,0.14285278,0.0004110657,0.05423482,6.030507e-05,0.14036121587643677,0.003332646713025001,9073.646282327587,23186.51477165086,5308.040921643896,168860.4210298097,4231.942835934498,11631.045183470456,0.005280196,8.774705e-06,247.55875,10799.263,0.38083985,0.000791825,6.159112e-08,13.616816,13.079501,0.98230994,0.076391935,0.0012267343,4.1571857e-07
Defect-free,0,0.13926329,0.0053153383,0.037466303,2.1055872e-05,0.23723733836206898,0.0013340214061396867,9502.825296336207,101287.82086933691,5944.945809253607,104085.23338040656,4126.553208746111,15626.252519601949,0.015746284,0.00015763572,84.033424,2360.8875,0.22645472,0.00036726758,1.5466764e-08,7.211475,5.51475,1.6051066,0.029062154,0.0009915123,1.5633015e-07
