Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Defect-free,0,20383.661867134273,1.27725,0.018471664,2981.815334731037,0.019558378,0.2765247,0.083692476,8156.053964822158,0.0008989742
Defect-free,0,3360.211000485889,0.9788971,0.015469411,2674.3433344337473,0.009264074,0.4200166,0.121492684,8030.752419172675,0.0011452829
Defect-free,0,4695.668748318134,1.0679482,0.012885533,2715.292309387828,0.010356474,0.41323045,0.12466717,8016.459786492028,0.0010572397
Defect-free,0,18621.015495421452,1.1325856,0.015162801,2735.1560649925027,0.010345261,0.44902337,0.13482428,8039.132000554821,0.000998018
Defect-free,0,11686.638519035272,1.1832763,0.014971469,2782.411555609331,0.0107154595,0.41420773,0.121097885,7928.666929876818,0.0009989984
Defect-free,0,8685.681894886315,1.0516762,0.011487477,2673.3662770780675,0.009085317,0.41313118,0.12370239,8010.3204076315005,0.0010744943
Defect-free,0,3626.3231524500457,0.9252893,0.0124865305,2588.469615062276,0.007871073,0.38155708,0.120913625,8029.21774751547,0.0011911535
Defect-free,0,14666.511484121098,1.29169,0.020470273,2851.5739451329855,0.013207017,0.2686957,0.07766901,8039.196002046112,0.00094718474
Defect-free,0,5497.033724073916,1.3191695,0.020874022,2921.2308236261356,0.015395383,0.2683179,0.07618955,8036.502157034857,0.0009563507
Defect-free,0,5391.754064010204,0.9437144,0.019591743,2672.5196340032285,0.007567576,0.38902792,0.118690535,7903.01060699909,0.0011964315
Defect-free,0,38508.048307672456,1.0771272,0.0124361105,2723.0911625016884,0.010997143,0.43479866,0.122562066,8011.893234023381,0.0010374188
Defect-free,0,24683.36601667205,1.2031112,0.013111926,2688.7893131116903,0.009233052,0.43186933,0.12762855,7986.193505591884,0.0010077175
Defect-free,0,12622.006885358449,1.2561388,0.01475303,2783.107585147869,0.010319475,0.40779272,0.11705362,7915.451539340565,0.00097267167
Defect-free,0,4693.993391138633,1.0565381,0.013593572,2728.146301114521,0.009842804,0.39549658,0.11627353,7971.243565905356,0.0010726736
Defect-free,0,9648.661795443033,0.9627028,0.013865971,2637.3296897911305,0.008627932,0.383781,0.11560815,7989.117586780479,0.0011691982
Defect-free,0,13076.002576722793,1.3093857,0.019313756,2885.942854903752,0.013706082,0.2543384,0.07443752,7992.263129129628,0.00097296684
Defect-free,0,7765.291561291431,1.342613,0.023744008,2973.5786824716793,0.0147781,0.23965348,0.070463605,7951.272113160886,0.0009524561
Defect-free,0,8230.48362636451,1.0139674,0.019480452,2678.145377483643,0.007605345,0.36722398,0.108118355,7861.635325693805,0.0011433414
Defect-free,0,11420.27830516902,1.1426322,0.01685909,2738.9367473043726,0.008881648,0.34626788,0.103523925,7829.76425761813,0.0010073878
Defect-free,0,15898.771677955754,1.228783,0.015288716,2675.507263738908,0.0076629217,0.38530934,0.11239158,7844.895697010315,0.0010613735
Defect-free,0,7482.062841752082,1.272453,0.015894717,2777.4921919365033,0.009265194,0.35992643,0.10716744,7875.107535397992,0.0010051164
Defect-free,0,6160.367823671475,1.1109858,0.016655443,2775.072159663665,0.009798461,0.32198817,0.09715081,7805.60687676747,0.0009896761
Defect-free,0,8075.578709281211,1.0438744,0.016318733,2734.8074392474473,0.00949995,0.34511662,0.098677896,7859.156243419632,0.001105464
Defect-free,0,19014.476341258007,1.3474936,0.022277877,2981.6719566568972,0.014981518,0.23122749,0.06945675,7953.861815675639,0.0009409586
Defect-free,0,8895.207932420084,1.3591496,0.024971329,2997.7219114706836,0.014545578,0.2296062,0.066878006,7938.9673265107485,0.00094734534
Defect-free,0,8059.304593950422,1.0822842,0.022399817,2769.961650887247,0.008298364,0.31855264,0.09328426,7781.951459136469,0.0010547539
Defect-free,0,11890.857154712612,1.1984652,0.01749562,2780.6695399142945,0.008727948,0.32570463,0.09586476,7783.312409271505,0.00097265013
Defect-free,0,16415.779856955698,1.302362,0.018842645,2725.2700353255314,0.0077120527,0.38536194,0.10740555,7785.027115020761,0.0009706173
Defect-free,0,14604.6273315923,1.4807599,0.02023257,2883.9802148992458,0.010844824,0.31429422,0.09040077,7687.014329759041,0.00091269263
Defect-free,0,8201.699763480001,1.1594,0.016967164,2831.4568118396064,0.010235881,0.31265926,0.0903977,7721.45741717276,0.0010283688
Defect-free,0,8656.162607903749,1.0586597,0.018434132,2776.500838286596,0.009773424,0.31087837,0.090369254,7779.336041939484,0.0010815746
Defect-free,0,10246.245112044304,1.4201874,0.024002122,3031.9809936449956,0.015464588,0.22766183,0.06455757,7950.984201741623,0.00094519526
Defect-free,0,6187.774871993014,1.4605325,0.024816846,3032.0488307929613,0.015313977,0.21950732,0.062714756,7974.01388090642,0.00090676197
Defect-free,0,6403.053172041353,1.0986124,0.024514081,2816.7322027007954,0.008866496,0.3063737,0.090132415,7783.3314099269355,0.0010551111
Defect-free,0,8923.704837619172,1.2827111,0.016789708,2841.506263414502,0.010165039,0.30358046,0.089997664,7808.622495805444,0.0009626471
Defect-free,0,26608.978949330965,1.3394172,0.016917348,2741.0981787576084,0.008076054,0.3382933,0.10011222,7681.255072495366,0.0010579483
Defect-free,0,41290.66101920574,1.6006944,0.022116736,2961.1298996948203,0.013709972,0.2912331,0.08314298,7643.598854262916,0.00087643944
Defect-free,0,12720.652765481811,1.3045659,0.019625433,2969.7458643164478,0.014083957,0.26285386,0.07703639,7637.328800074673,0.00086685497
Defect-free,0,15457.688016104092,1.1637763,0.019861104,2866.5318853051326,0.012372425,0.28904215,0.08484521,7778.323232286013,0.0010178005
Defect-free,0,15738.883832377342,1.5336459,0.02246381,3070.7419398167262,0.016918305,0.21072248,0.0612565,8040.533620152582,0.00086771767
Defect-free,0,23992.613599183493,1.4558362,0.026826998,3052.988977380582,0.014169105,0.2049301,0.061552268,7975.334201429934,0.0009206229
Defect-free,0,10007.625377555652,1.2703648,0.027351663,2918.2948610229287,0.010967365,0.26775983,0.07710218,7663.625273761927,0.0010250466
Defect-free,0,13199.337368946,1.5018346,0.023991218,3026.922484097146,0.013558322,0.25881082,0.07307895,7595.827785524961,0.0008180123
Defect-free,0,20872.667341429362,1.508942,0.020388154,2858.3690851070282,0.010269776,0.270096,0.08030277,7582.076022814139,0.0008957282
Cracks,1,7353.128837455893,1.5883378,0.02235396,2948.8000305117052,0.012239439,0.2670895,0.07977721,7571.694367016961,0.0008874643
Cracks,1,31846.18700338732,1.3631529,0.02160162,2976.020560439011,0.0143095525,0.291734,0.08186152,7604.157116604529,0.00090623443
Cracks,1,18100.858495160148,1.1893806,0.02040826,2906.4995487451083,0.013189037,0.27626055,0.07974296,7764.757677292098,0.0010065498
Cracks,1,39393.05261126294,1.568785,0.025150629,3129.819622766124,0.01802475,0.22722897,0.06159753,8005.319038610162,0.00083724194
Cracks,1,30215.720881880556,1.4971299,0.02908356,3103.3443140491645,0.015522795,0.21351396,0.06112401,7984.673213708061,0.00088292605
Cracks,1,14302.070827533473,1.3133498,0.026934657,2960.127749314026,0.011928404,0.2446517,0.07482318,7651.771617581237,0.0009125552
Cracks,1,23871.612283511316,1.6397729,0.025129901,3072.988859959892,0.015239012,0.21752228,0.06171817,7520.741382757372,0.00077659683
