Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,BER mean,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.3745531,0.019395694,0.0989151,0.00045802846,0.36377514367816094,0.0008867005877268646,9971.605603448275,87898.78049730265,7881.897951603713,24902.094117300356,2841.4693878615894,58912.03900154576,0.0136931,7.040761e-05,23.138842,127.67962,0.02197596,0.00021716385,5.5425384e-09,4.103357,0.5903706,1.2257514,0.04369798,0.0009429382,7.848472e-08
Defect-free,0,0.49252355,0.0048442245,0.14768031,0.00017855222,0.3648920168821839,0.0009408551519905218,9713.702182112069,8986.143640615708,7896.296286701895,6617.097966311905,2601.394516898064,9507.60677683377,0.006467332,1.7245894e-06,30.090195,149.36606,0.01740973,0.0002599484,3.6037549e-09,4.734414,0.56471336,0.93976253,0.009625826,0.0011527952,9.4097516e-08
Defect-free,0,0.5243327,0.019302225,0.15285428,0.00019493498,0.3620184536637931,0.0008478468956571226,9872.849878771553,207630.83761852508,7917.175344590626,51827.95719834293,2709.5669613119567,58670.03082378763,0.009852646,0.00012984904,30.25174,103.992325,0.015207703,0.00025031794,2.989421e-09,4.734191,0.47585902,0.99095,0.008693461,0.001054067,9.304735e-08
Defect-free,0,0.5089455,0.011958145,0.14574467,0.00023778883,0.36416240122126436,0.0012159283905492965,9779.291823814656,37867.41130842466,7895.082915174181,28616.222988723268,2680.637041404973,20227.2246269265,0.008300204,1.0123218e-05,23.177923,44.431393,0.01649878,0.00022802147,2.4115785e-09,4.224983,0.23165916,1.0489203,0.009113142,0.0010177383,6.270919e-08
Defect-free,0,0.4626356,0.0102856355,0.13780625,0.00021474207,0.3664242097701149,0.0009706415042078374,10051.303205818966,125741.4426644832,7970.391743151042,17447.661577753104,2828.9187267155403,39694.31690551132,0.013665587,3.8017875e-05,21.140863,35.129898,0.014324019,0.00020585614,1.2874986e-09,4.022358,0.22272943,1.2239451,0.024905317,0.0009220701,5.5052247e-08
Defect-free,0,0.50582325,0.013901138,0.1435311,0.00012707702,0.36352819683908044,0.0008547490961974703,9957.250134698275,120487.76357267471,8052.11861518984,35057.56929165681,2678.260073066393,53389.319454074845,0.0108509455,0.00013199287,29.037079,96.14844,0.0119416565,0.0002482379,2.6565659e-09,4.6355953,0.42654854,1.0325066,0.016370663,0.001074135,1.11108136e-07
Defect-free,0,0.4595309,0.003447546,0.14059313,0.0002186092,0.366839529454023,0.0009234193168616955,9830.525996767241,18172.363259704445,8085.7039226976185,4144.498321352999,2532.1520586081424,5733.044209216137,0.00726174,1.4285828e-06,29.063555,80.213394,0.012561348,0.0002584423,2.9193663e-09,4.700133,0.3657004,0.9249254,0.0067030974,0.0011542566,1.00656344e-07
Defect-free,0,0.31124458,0.009524112,0.09028581,0.00055430364,0.3667104436063218,0.0011324113923187598,10243.121969288793,77752.12266924264,8102.988294796543,17819.568869117928,2812.920712521132,52497.395813857416,0.014228262,4.0978888e-05,24.81163,89.822975,0.01795877,0.00022677405,6.490746e-09,4.2477965,0.46120432,1.2437882,0.032108013,0.0009479276,6.5781435e-08
Defect-free,0,0.33471924,0.025268456,0.08972682,0.00036805778,0.3712452855603448,0.0009389050272405974,10475.284550107759,224973.12448254385,8235.53962928986,63644.72002534071,3003.1499008189394,77518.50467345322,0.023264535,0.00021427307,21.517565,64.07987,0.018677639,0.00020129597,3.3121073e-09,3.9681838,0.4101158,1.3435619,0.04644716,0.0008423159,6.3333296e-08
Defect-free,0,0.45208776,0.004222615,0.1318098,0.00015141706,0.3676533315373563,0.000965885228376153,9897.600686961207,27703.2330486919,8084.664444215033,5012.7437433353125,2676.1617242150423,10942.550891515806,0.00983319,4.69375e-06,26.678055,56.044674,0.01536172,0.00024206545,2.192907e-09,4.525706,0.2885732,0.97842866,0.012485649,0.0010636975,7.7224755e-08
Defect-free,0,0.4367511,0.0045439084,0.13097294,7.854893e-05,0.3641960757902299,0.000920245316372253,10075.558997844828,35427.53804736414,8041.237747321507,7076.852261096824,2782.6029426529594,12303.878969510279,0.012354064,7.599467e-06,27.716635,107.71848,0.014374998,0.00023839127,2.4099358e-09,4.504405,0.4766989,1.0766717,0.012181542,0.0009972345,8.65891e-08
Defect-free,0,0.46258193,0.009031209,0.1310736,9.52081e-05,0.36387616738505746,0.0011377631948589254,10019.622171336207,59354.19916681389,8050.302811758988,17021.874778642272,2774.928682061919,14075.901435874612,0.012448471,1.1959417e-05,20.741188,61.7752,0.013215077,0.00020488103,1.7879178e-09,4.004431,0.29871008,1.1930282,0.011508564,0.0009336947,4.444659e-08
Defect-free,0,0.45339614,0.0055938098,0.12722842,9.93219e-05,0.3657451059626437,0.0009321120034468697,10052.788254310344,77871.70267842188,8013.119892807873,27521.714452772892,2834.2379087174413,18746.775764546022,0.0128710335,1.2374474e-05,25.560232,123.96555,0.014380514,0.00022777065,2.4525095e-09,4.305836,0.5060442,1.2215867,0.011492101,0.0009710102,7.5366565e-08
Defect-free,0,0.43976602,0.00298505,0.13168317,9.615581e-05,0.36062095905172414,0.0009181404038171091,9870.622306034482,16909.421933250112,8006.354377366281,11217.935863812267,2683.7956991960687,9178.239044275988,0.009788475,3.153542e-06,29.090076,114.421135,0.012153724,0.000249706,2.6221902e-09,4.6159883,0.41787225,1.0512083,0.013344805,0.0010397184,6.792523e-08
Defect-free,0,0.43462083,0.0028068954,0.13414535,0.00012665144,0.3674400592672414,0.00088218087201264,9846.861530172413,26487.33959470153,8105.820565966776,4861.903027643648,2587.9235974515655,5851.41289259208,0.008643336,2.4353e-06,30.178984,122.70324,0.011366621,0.00026030163,2.8935632e-09,4.7388644,0.48349315,0.95874363,0.00825868,0.0010995824,9.049983e-08
Defect-free,0,0.28832904,0.0058021327,0.08613475,0.00044122303,0.3669293283045977,0.0012184660411728376,10107.982556573275,82103.68331065502,8095.2806451248725,31894.61713679945,2826.0622058986846,44241.785215552496,0.014040139,3.3259137e-05,24.088272,118.813126,0.017801108,0.00022454001,6.910468e-09,4.2024846,0.56740266,1.2931898,0.038512398,0.00093533646,6.2499836e-08
Defect-free,0,0.2765247,0.002684271,0.083692476,0.0002822661,0.3667609554597701,0.0009146219264375817,10335.442483836207,109172.13764258714,8156.053964822158,20383.661867134273,2981.815334731037,53860.051019650164,0.019558378,7.342082e-05,27.327831,178.54427,0.018471664,0.0002278953,4.7789657e-09,4.383783,0.778859,1.27725,0.048210897,0.0008989742,7.04624e-08
Defect-free,0,0.4200166,0.0031842126,0.121492684,7.8433935e-05,0.363629220545977,0.000859660159834374,9838.941271551725,20660.019516236152,8030.752419172675,3360.211000485889,2674.3433344337473,12707.704352276349,0.009264074,3.8667e-06,28.818983,130.89537,0.015469411,0.00024789883,3.29546e-09,4.65284,0.5421172,0.9788971,0.012226401,0.0011452829,1.3665664e-07
Defect-free,0,0.41323045,0.0032988307,0.12466717,8.643608e-05,0.3649593660201149,0.0008581408201931553,9911.956155711207,21684.290906336868,8016.459786492028,4695.668748318134,2715.292309387828,9273.217349507735,0.010356474,5.5871906e-06,28.330036,97.726944,0.012885533,0.00024498822,2.919367e-09,4.575901,0.50449514,1.0679482,0.015924348,0.0010572397,7.8275114e-08
Defect-free,0,0.44902337,0.005350751,0.13482428,0.0001542629,0.36498742816091956,0.0011560663330868381,9953.290005387931,44030.31503969934,8039.132000554821,18621.015495421452,2735.1560649925027,15135.269820638994,0.010345261,6.359163e-06,25.491175,118.80449,0.015162801,0.00023297794,2.4069526e-09,4.3313365,0.43428302,1.1325856,0.00795918,0.000998018,5.0102496e-08
Defect-free,0,0.41420773,0.0028492163,0.121097885,6.207539e-05,0.36412311422413796,0.0008613799613381113,9811.962890625,14258.568369109054,7928.666929876818,11686.638519035272,2782.411555609331,14314.762805863851,0.0107154595,9.554164e-06,27.90517,138.59354,0.014971469,0.00024094679,2.9603602e-09,4.49479,0.6311123,1.1832763,0.018488165,0.0009989984,6.1225784e-08
Defect-free,0,0.41313118,0.0036266963,0.12370239,0.00010900752,0.3643812859195402,0.0009212177013024768,9843.148908943966,11687.10808975093,8010.3204076315005,8685.681894886315,2673.3662770780675,6181.6323030268595,0.009085317,3.2212872e-06,29.277576,101.65482,0.011487477,0.00025279282,2.66046e-09,4.6803584,0.47694638,1.0516762,0.009935817,0.0010744943,7.092213e-08
Defect-free,0,0.38155708,0.0027956222,0.120913625,0.00010484944,0.3632475754310345,0.0008531646788994375,9754.293507543103,4268.981823598019,8029.21774751547,3626.3231524500457,2588.469615062276,5410.920603140208,0.007871073,2.1288627e-06,32.442406,128.493,0.0124865305,0.00027404004,3.6765386e-09,4.9126663,0.49901345,0.9252893,0.009439383,0.0011911535,9.907485e-08
Defect-free,0,0.2686957,0.006438004,0.07766901,0.00029009997,0.3663568606321839,0.0011181837659733252,9978.040813577587,58617.97347505368,8039.196002046112,14666.511484121098,2851.5739451329855,26573.104075655978,0.013207017,1.8644667e-05,24.861883,82.0737,0.020470273,0.00022941997,5.155505e-09,4.27326,0.41680387,1.29169,0.03281807,0.00094718474,6.770194e-08
Defect-free,0,0.2683179,0.003488822,0.07618955,0.00023202928,0.3675972072557471,0.0008816876551925089,10064.173626077587,96149.31104866415,8036.502157034857,5497.033724073916,2921.2308236261356,36588.73538981719,0.015395383,3.773066e-05,25.113894,69.52101,0.020874022,0.00022887734,4.4420294e-09,4.2841454,0.39806858,1.3191695,0.051707152,0.0009563507,7.545909e-08
Defect-free,0,0.38902792,0.005067977,0.118690535,0.00016858516,0.36169854525862066,0.000849213904442411,9711.474609375,5265.686100926892,7903.01060699909,5391.754064010204,2672.5196340032285,7465.994733395575,0.007567576,1.9477538e-06,35.055172,170.1745,0.019591743,0.00028439812,4.3416435e-09,5.089145,0.62111026,0.9437144,0.01256322,0.0011964315,9.084314e-08
Defect-free,0,0.43479866,0.017691074,0.122562066,7.2872026e-05,0.3650211027298851,0.0009577997862576085,9899.580751616379,93849.23367948225,8011.893234023381,38508.048307672456,2723.0911625016884,39836.26183346591,0.010997143,8.77076e-05,32.157204,188.69661,0.0124361105,0.00025666275,3.5109997e-09,4.803036,0.7365271,1.0771272,0.016887857,0.0010374188,8.7346244e-08
Defect-free,0,0.43186933,0.0037484888,0.12762855,6.9722315e-05,0.3636236081178161,0.0011155255358385149,9827.803407866379,26194.7606378163,7986.193505591884,24683.36601667205,2688.7893131116903,17821.843821335446,0.009233052,8.913697e-06,25.812647,138.23094,0.013111926,0.00023444752,3.4619418e-09,4.345379,0.57053834,1.2031112,0.014585924,0.0010077175,7.2175474e-08
Defect-free,0,0.40779272,0.0018638306,0.11705362,5.5786175e-05,0.3648471174568966,0.0008664193533263506,9803.052599676725,5769.000319890261,7915.451539340565,12622.006885358449,2783.107585147869,10447.358355168788,0.010319475,5.6034055e-06,27.765804,170.28336,0.01475303,0.00023944862,3.5488141e-09,4.4607525,0.661216,1.2561388,0.015486568,0.00097267167,6.466535e-08
Defect-free,0,0.39549658,0.0023640334,0.11627353,9.6238306e-05,0.3601214529454023,0.0008557519094996603,9834.23861799569,12824.343381965624,7971.243565905356,4693.993391138633,2728.146301114521,14656.164222419306,0.009842804,8.215623e-06,37.09184,383.75235,0.013593572,0.00027720782,6.2244445e-09,5.0680623,1.2256233,1.0565381,0.016681422,0.0010726736,9.2445326e-08
